#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2640 1.2548E-02 1.2548E-02  -0.11   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 5.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 252  1.236577  3.5931  1.1864  2.6694  3.6160 -0.0474 -1.3223 -1.8990 -2.2430
 253  1.236628  3.5901  1.1384  2.7052  3.6072 -0.0862 -1.3691 -1.9719 -2.3301
 254  1.236676  3.5870  1.0912  2.7403  3.5985 -0.1222 -1.4102 -2.0427 -2.4159
 255  1.236720  3.5841  1.0452  2.7745  3.5895 -0.1549 -1.4451 -2.1108 -2.4994
 256  1.236760  3.5811  1.0000  2.8079  3.5815 -0.1839 -1.4747 -2.1761 -2.5809
 257  1.236798  3.5781  0.9556  2.8406  3.5737 -0.2090 -1.4977 -2.2391 -2.6611
 258  1.236833  3.5753  0.9121  2.8726  3.5674 -0.2320 -1.5196 -2.3001 -2.7394
 259  1.236865  3.5725  0.8697  2.9037  3.5638 -0.2510 -1.5385 -2.3579 -2.8153
 260  1.236896  3.5697  0.8280  2.9340  3.5619 -0.2650 -1.5514 -2.4128 -2.8890
 261  1.236924  3.5669  0.7871  2.9639  3.5642 -0.2744 -1.5606 -2.4647 -2.9604
